requirement_id,source_url,clause_or_test_id,namespace,element_or_behavior,normative_level,parse,validate,execute,navara_3d,cesium_3d,maplibre_2d,ui_edit,export,fixture_ids,implementation_paths,status,limitation,next_action
KML-DOC-001,https://docs.ogc.org/is/12-007r2/12-007r2.html,7.1,http://www.opengis.net/kml/2.2,kml (root element),SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/,not-started,,Phase 1: KML ルート要素パーサー
KML-DOC-002,https://docs.ogc.org/is/12-007r2/12-007r2.html,7.2,http://www.opengis.net/kml/2.2,Document,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/,not-started,,Phase 1
KML-DOC-003,https://docs.ogc.org/is/12-007r2/12-007r2.html,7.2,http://www.opengis.net/kml/2.2,Folder,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/,not-started,,Phase 1
KML-GEOM-001,https://docs.ogc.org/is/12-007r2/12-007r2.html,10.1,http://www.opengis.net/kml/2.2,Point,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/geometry/,not-started,,Phase 1
KML-GEOM-002,https://docs.ogc.org/is/12-007r2/12-007r2.html,10.2,http://www.opengis.net/kml/2.2,LineString,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/geometry/,not-started,,Phase 1
KML-GEOM-003,https://docs.ogc.org/is/12-007r2/12-007r2.html,10.3,http://www.opengis.net/kml/2.2,Polygon,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/geometry/,not-started,,Phase 1
KML-GEOM-004,https://docs.ogc.org/is/12-007r2/12-007r2.html,10.4,http://www.opengis.net/kml/2.2,MultiGeometry,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/geometry/,not-started,,Phase 1
KML-GEOM-005,https://docs.ogc.org/is/12-007r2/12-007r2.html,10.5,http://www.opengis.net/kml/2.2,Model,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/geometry/,not-started,,Phase 3
KML-GEOM-006,https://docs.ogc.org/is/12-007r2/12-007r2.html,10.6,http://www.opengis.net/kml/2.2,Track,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/geometry/,not-started,,Phase 2
KML-GEOM-007,https://docs.ogc.org/is/12-007r2/12-007r2.html,10.7,http://www.opengis.net/kml/2.2,MultiTrack,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/geometry/,not-started,,Phase 2
